province,statcan_dguid,brazilian_immigrants_2021,total_immigrants_2021,brazil_before_1980,brazil_1980_1990,brazil_1991_2000,brazil_2001_2010,brazil_2011_2021,low_developer_wage,median_developer_wage,high_developer_wage,wage_unit,wage_reference_period,wage_revision_date,wage_data_source
Newfoundland and Labrador,2021A000210,90,14250,0,0,0,40,50,30.77,43.75,74.52,CAD/hour,2023-2024,2025-11-19,LFS 2023-24 PR NOC5
Prince Edward Island,2021A000211,85,11765,10,0,0,10,60,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Nova Scotia,2021A000212,435,71570,25,10,25,75,305,24.5,40.87,66.67,CAD/hour,2023-2024,2025-11-19,LFS 2023-24 PR NOC5
New Brunswick,2021A000213,240,44120,0,15,10,15,205,28,45.67,74.04,CAD/hour,2023-2024,2025-11-19,LFS 2023-24 PR NOC5
Quebec,2021A000224,9700,1210595,305,365,625,3115,5285,29,45.67,68.13,CAD/hour,2023-2024,2025-11-19,LFS 2023-24 PR NOC5
Ontario,2021A000235,23120,4206590,1570,1115,2950,5420,12070,30.29,48.08,77.4,CAD/hour,2023-2024,2025-11-19,LFS 2023-24 PR NOC5
Manitoba,2021A000246,1810,257615,90,55,35,135,1495,30,41.03,62.02,CAD/hour,2023-2024,2025-11-19,LFS 2023-24 PR NOC5
Saskatchewan,2021A000247,380,137615,15,60,25,65,220,28.85,48.07,68.68,CAD/hour,2023-2024,2025-11-19,LFS 2023-24 PR NOC5
Alberta,2021A000248,3800,970975,220,160,320,1110,1985,29.81,48.08,76.92,CAD/hour,2023-2024,2025-11-19,LFS 2023-24 PR NOC5
British Columbia,2021A000259,8765,1425715,505,250,530,1410,6065,31.25,52.4,84.13,CAD/hour,2023-2024,2025-11-19,LFS 2023-24 PR NOC5
Yukon,2021A000260,0,5380,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Northwest Territories,2021A000261,10,4150,0,0,10,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Nunavut,2021A000262,10,1165,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
