REF_DATE,GEO,DGUID,Census year (2),Housing indicators (9),Coordinate,Tenure (4):Total - Tenure[1],Symbol,Tenure (4):Owner[2],Symbol,Tenure (4):Renter[3],Symbol,"Tenure (4):Dwelling provided by the local government, First Nation or Indian band[4]",Symbol
2021,Newfoundland and Labrador,2021A000210,2021,Total - Housing indicators,2.1.1,223255,,169010,,53680,,560,
2021,Newfoundland and Labrador,2021A000210,2021,Adequacy: inadequate housing,2.1.2,12205,,8895,,3185,,125,
2021,Newfoundland and Labrador,2021A000210,2021,Percent of households in inadequate housing,2.1.3,5.5,,5.3,,5.9,,22.3,
2021,Newfoundland and Labrador,2021A000210,2021,Suitability: unsuitable housing,2.1.4,3850,,1820,,1945,,85,
2021,Newfoundland and Labrador,2021A000210,2021,Percent of households in unsuitable housing,2.1.5,1.7,,1.1,,3.6,,15.2,
2021,Newfoundland and Labrador,2021A000210,2021,Affordability: unaffordable housing,2.1.6,32390,,15020,,17370,,0,
2021,Newfoundland and Labrador,2021A000210,2021,Percent of households in unaffordable housing,2.1.7,14.6,,8.9,,32.5,,0.0,
2021,Newfoundland and Labrador,2021A000210,2021,Core housing need: in core housing need,2.1.8,17525,,6685,,10840,,0,
2021,Newfoundland and Labrador,2021A000210,2021,Percent of households in core housing need,2.1.9,8.0,,4.0,,20.8,,0.0,
2021,Prince Edward Island,2021A000211,2021,Total - Housing indicators,7.1.1,64570,,44420,,19985,,165,
2021,Prince Edward Island,2021A000211,2021,Adequacy: inadequate housing,7.1.2,4570,,3350,,1160,,65,
2021,Prince Edward Island,2021A000211,2021,Percent of households in inadequate housing,7.1.3,7.1,,7.5,,5.8,,39.4,
2021,Prince Edward Island,2021A000211,2021,Suitability: unsuitable housing,7.1.4,2020,,760,,1250,,0,
2021,Prince Edward Island,2021A000211,2021,Percent of households in unsuitable housing,7.1.5,3.1,,1.7,,6.3,,0.0,
2021,Prince Edward Island,2021A000211,2021,Affordability: unaffordable housing,7.1.6,9865,,3855,,6010,,0,
2021,Prince Edward Island,2021A000211,2021,Percent of households in unaffordable housing,7.1.7,15.5,,8.8,,30.2,,0.0,
2021,Prince Edward Island,2021A000211,2021,Core housing need: in core housing need,7.1.8,4365,,1625,,2745,,0,
2021,Prince Edward Island,2021A000211,2021,Percent of households in core housing need,7.1.9,7.0,,3.8,,14.1,,0.0,
2021,Nova Scotia,2021A000212,2021,Total - Housing indicators,10.1.1,428230,,285995,,139415,,2820,
2021,Nova Scotia,2021A000212,2021,Adequacy: inadequate housing,10.1.2,35215,,23015,,11535,,665,
2021,Nova Scotia,2021A000212,2021,Percent of households in inadequate housing,10.1.3,8.2,,8.0,,8.3,,23.6,
2021,Nova Scotia,2021A000212,2021,Suitability: unsuitable housing,10.1.4,15210,,4945,,9945,,320,
2021,Nova Scotia,2021A000212,2021,Percent of households in unsuitable housing,10.1.5,3.6,,1.7,,7.1,,11.3,
2021,Nova Scotia,2021A000212,2021,Affordability: unaffordable housing,10.1.6,75475,,27320,,48150,,0,
2021,Nova Scotia,2021A000212,2021,Percent of households in unaffordable housing,10.1.7,17.9,,9.7,,34.7,,0.0,
2021,Nova Scotia,2021A000212,2021,Core housing need: in core housing need,10.1.8,41465,,13880,,27580,,0,
2021,Nova Scotia,2021A000212,2021,Percent of households in core housing need,10.1.9,10.0,,5.0,,20.7,,0.0,
2021,New Brunswick,2021A000213,2021,Total - Housing indicators,16.1.1,337650,,246455,,88450,,2740,
2021,New Brunswick,2021A000213,2021,Adequacy: inadequate housing,16.1.2,26245,,18350,,7000,,895,
2021,New Brunswick,2021A000213,2021,Percent of households in inadequate housing,16.1.3,7.8,,7.4,,7.9,,32.7,
2021,New Brunswick,2021A000213,2021,Suitability: unsuitable housing,16.1.4,9055,,4365,,4465,,225,
2021,New Brunswick,2021A000213,2021,Percent of households in unsuitable housing,16.1.5,2.7,,1.8,,5.0,,8.2,
2021,New Brunswick,2021A000213,2021,Affordability: unaffordable housing,16.1.6,42920,,18405,,24515,,0,
2021,New Brunswick,2021A000213,2021,Percent of households in unaffordable housing,16.1.7,12.9,,7.5,,28.0,,0.0,
2021,New Brunswick,2021A000213,2021,Core housing need: in core housing need,16.1.8,20240,,8270,,11970,,0,
2021,New Brunswick,2021A000213,2021,Percent of households in core housing need,16.1.9,6.2,,3.4,,13.9,,0.0,
2021,Quebec,2021A000224,2021,Total - Housing indicators,24.1.1,3749035,,2245605,,1497005,,6425,
2021,Quebec,2021A000224,2021,Adequacy: inadequate housing,24.1.2,236110,,125865,,108495,,1755,
