REF_DATE,GEO,DGUID,Age (8D),Gender (3),Place of birth (290),Coordinate,Immigrant status and period of immigration (11):Total - Immigrant status and period of immigration[1],Symbol,Immigrant status and period of immigration (11):Non-immigrants[2],Symbol,Immigrant status and period of immigration (11):Immigrants[3],Symbol,Immigrant status and period of immigration (11):Before 1980[4],Symbol,Immigrant status and period of immigration (11):1980 to 1990[5],Symbol,Immigrant status and period of immigration (11):1991 to 2000[6],Symbol,Immigrant status and period of immigration (11):2001 to 2010[7],Symbol,Immigrant status and period of immigration (11):2011 to 2021[8],Symbol,Immigrant status and period of immigration (11):2011 to 2015[9],Symbol,Immigrant status and period of immigration (11):2016 to 2021[10],Symbol,Immigrant status and period of immigration (11):Non-permanent residents[11],Symbol
2021,Newfoundland and Labrador,2021A000210,Total - Age,Total - Gender,Total – Place of birth,2.1.1.1,502100,,482610,,14250,,3335,,890,,1020,,2440,,6565,,2300,,4270,,5235,
2021,Newfoundland and Labrador,2021A000210,Total - Age,Total - Gender,Brazil,2.1.1.64,180,,15,,90,,0,,0,,0,,40,,50,,25,,25,,80,
2021,Prince Edward Island,2021A000211,Total - Age,Total - Gender,Total – Place of birth,386.1.1.1,150485,,133280,,11765,,2170,,720,,715,,1685,,6470,,1615,,4860,,5435,
2021,Prince Edward Island,2021A000211,Total - Age,Total - Gender,Brazil,386.1.1.64,180,,0,,85,,10,,0,,0,,10,,60,,10,,50,,85,
2021,Nova Scotia,2021A000212,Total - Age,Total - Gender,Total – Place of birth,488.1.1.1,955855,,861945,,71570,,16790,,5465,,6685,,12370,,30260,,8870,,21390,,22340,
2021,Nova Scotia,2021A000212,Total - Age,Total - Gender,Brazil,488.1.1.64,940,,0,,435,,25,,10,,25,,75,,305,,40,,265,,495,
2021,New Brunswick,2021A000213,Total - Age,Total - Gender,Total – Place of birth,602.1.1.1,759195,,704215,,44120,,10030,,2745,,2955,,6605,,21785,,5745,,16040,,10855,
2021,New Brunswick,2021A000213,Total - Age,Total - Gender,Brazil,602.1.1.64,860,,0,,240,,0,,15,,10,,15,,205,,50,,155,,625,
2021,Quebec,2021A000224,Total - Age,Total - Gender,Total – Place of birth,884.1.1.1,8308480,,6892105,,1210595,,187195,,124605,,190495,,312210,,396085,,193350,,202740,,205775,
2021,Quebec,2021A000224,Total - Age,Total - Gender,Brazil,884.1.1.64,15965,,315,,9700,,305,,365,,625,,3115,,5285,,2710,,2575,,5945,
2021,Ontario,2021A000235,Total - Age,Total - Gender,Total – Place of birth,2265.1.1.1,14031750,,9437315,,4206590,,860300,,506190,,852765,,941635,,1045695,,461010,,584685,,387850,
2021,Ontario,2021A000235,Total - Age,Total - Gender,Brazil,2265.1.1.64,36025,,610,,23120,,1570,,1115,,2950,,5420,,12070,,3345,,8725,,12295,
2021,Manitoba,2021A000246,Total - Age,Total - Gender,Total – Place of birth,2892.1.1.1,1307190,,1015280,,257615,,38775,,21210,,21305,,65555,,110765,,52400,,58370,,34285,
2021,Manitoba,2021A000246,Total - Age,Total - Gender,Brazil,2892.1.1.64,2475,,35,,1810,,90,,55,,35,,135,,1495,,60,,1435,,630,
2021,Saskatchewan,2021A000247,Total - Age,Total - Gender,Total – Place of birth,3155.1.1.1,1103200,,949750,,137615,,12780,,5940,,8385,,29370,,81135,,38020,,43115,,15830,
2021,Saskatchewan,2021A000247,Total - Age,Total - Gender,Brazil,3155.1.1.64,675,,30,,380,,15,,60,,25,,65,,220,,50,,170,,265,
2021,Alberta,2021A000248,Total - Age,Total - Gender,Total – Place of birth,4125.1.1.1,4177715,,3141915,,970975,,127275,,91320,,126610,,239260,,386505,,193340,,193175,,64825,
2021,Alberta,2021A000248,Total - Age,Total - Gender,Brazil,4125.1.1.64,5135,,150,,3800,,220,,160,,320,,1110,,1985,,625,,1365,,1190,
2021,British Columbia,2021A000259,Total - Age,Total - Gender,Total – Place of birth,4568.1.1.1,4915945,,3319225,,1425715,,280160,,164445,,299115,,316920,,365075,,167655,,197425,,171000,
2021,British Columbia,2021A000259,Total - Age,Total - Gender,Brazil,4568.1.1.64,15245,,315,,8765,,505,,250,,530,,1410,,6065,,940,,5130,,6170,
2021,Yukon,2021A000260,Total - Age,Total - Gender,Total – Place of birth,5349.1.1.1,39590,,33275,,5380,,1100,,385,,680,,1060,,2160,,1035,,1125,,930,
2021,Yukon,2021A000260,Total - Age,Total - Gender,Brazil,5349.1.1.64,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,Northwest Territories,2021A000261,Total - Age,Total - Gender,Total – Place of birth,5386.1.1.1,40380,,35820,,4150,,560,,330,,620,,1020,,1615,,800,,815,,410,
2021,Northwest Territories,2021A000261,Total - Age,Total - Gender,Brazil,5386.1.1.64,0,,0,,10,,0,,0,,10,,0,,0,,0,,0,,0,
2021,Nunavut,2021A000262,Total - Age,Total - Gender,Total – Place of birth,5434.1.1.1,36605,,35360,,1165,,125,,65,,130,,400,,440,,200,,240,,75,
2021,Nunavut,2021A000262,Total - Age,Total - Gender,Brazil,5434.1.1.64,10,,0,,10,,0,,0,,0,,0,,0,,0,,0,,0,
