NOC_CNP,NOC_Title,Titre_CNP,PROV,ER_Code_Code_RE,ER_Name_Nom_RE,Low_Wage_Salaire_Minium,Median_Wage_Salaire_Median,High_Wage_Salaire_Maximal,Data_Source_E,Data_Source_F,Reference_Period,Revision_Date_Date_revision,Annual_Wage_Flag_Salaire_annuel,Wage_Comment_E,Wage_Comment_F
NOC_0011,Legislators,Membres des corps législatifs,NA,ER00,National,24746,67684,142825,2016 Census,Recensement 2016,2016,2021-11-17,1,"In this occupation, a large number of people are self-employed. For this reason, wages for this occupation are presented at an annual rate to better represent earnings for this occupation.","Dans cette profession, il y a un grand nombre de travailleurs autonomes. Pour cette raison les salaires pour cette profession sont présentés au taux annuel afin de mieux représenter la rémunération pour cette profession."
NOC_0011,Legislators,Membres des corps législatifs,NL,ER10,Newfoundland and Labrador,44335,96129,155370,2016 Census,Recensement 2016,2016,2021-11-17,1,"In this occupation, a large number of people are self-employed. For this reason, wages for this occupation are presented at an annual rate to better represent earnings for this occupation.","Dans cette profession, il y a un grand nombre de travailleurs autonomes. Pour cette raison les salaires pour cette profession sont présentés au taux annuel afin de mieux représenter la rémunération pour cette profession."
NOC_0011,Legislators,Membres des corps législatifs,NL,ER1010,Avalon Peninsula,,,,NA,NA,NA,2021-11-17,1,"Due to data limitations, the wage for this occupation cannot be published. Please refer to the wage published for this occupation at the provincial level.","En raison des limites associées aux données, le salaire pour cette profession ne peut être diffusé. Veuillez vous référer au salaire publié au niveau provincial pour cette profession."
NOC_0011,Legislators,Membres des corps législatifs,NL,ER1020,South Coast--Burin Peninsula,,,,NA,NA,NA,2021-11-17,1,"Due to data limitations, the wage for this occupation cannot be published. Please refer to the wage published for this occupation at the provincial level.","En raison des limites associées aux données, le salaire pour cette profession ne peut être diffusé. Veuillez vous référer au salaire publié au niveau provincial pour cette profession."
NOC_0011,Legislators,Membres des corps législatifs,NL,ER1030,West Coast--Northern Peninsula--Labrador,,,,NA,NA,NA,2021-11-17,1,"Due to data limitations, the wage for this occupation cannot be published. Please refer to the wage published for this occupation at the provincial level.","En raison des limites associées aux données, le salaire pour cette profession ne peut être diffusé. Veuillez vous référer au salaire publié au niveau provincial pour cette profession."
NOC_0011,Legislators,Membres des corps législatifs,NL,ER1040,Notre Dame--Central Bonavista Bay,,,,NA,NA,NA,2021-11-17,1,"Due to data limitations, the wage for this occupation cannot be published. Please refer to the wage published for this occupation at the provincial level.","En raison des limites associées aux données, le salaire pour cette profession ne peut être diffusé. Veuillez vous référer au salaire publié au niveau provincial pour cette profession."
NOC_0011,Legislators,Membres des corps législatifs,PE,ER1110,Prince Edward Island,,,,NA,NA,NA,2021-11-17,1,"Due to data limitations, the wage for this occupation cannot be published. Please refer to the wage published for this occupation at the national level.","En raison des limites associées aux données, le salaire pour cette profession ne peut être diffusé. Veuillez vous référer au salaire publié au niveau national pour cette profession."
NOC_0011,Legislators,Membres des corps législatifs,NS,ER12,Nova Scotia,27273,89651,143890,2016 Census,Recensement 2016,2016,2021-11-17,1,"In this occupation, a large number of people are self-employed. For this reason, wages for this occupation are presented at an annual rate to better represent earnings for this occupation.","Dans cette profession, il y a un grand nombre de travailleurs autonomes. Pour cette raison les salaires pour cette profession sont présentés au taux annuel afin de mieux représenter la rémunération pour cette profession."
NOC_0011,Legislators,Membres des corps législatifs,NS,ER1210,Cape Breton,,,,NA,NA,NA,2021-11-17,1,"Due to data limitations, the wage for this occupation cannot be published. Please refer to the wage published for this occupation at the provincial level.","En raison des limites associées aux données, le salaire pour cette profession ne peut être diffusé. Veuillez vous référer au salaire publié au niveau provincial pour cette profession."
NOC_0011,Legislators,Membres des corps législatifs,NS,ER1220,North Shore,,,,NA,NA,NA,2021-11-17,1,"Due to data limitations, the wage for this occupation cannot be published. Please refer to the wage published for this occupation at the provincial level.","En raison des limites associées aux données, le salaire pour cette profession ne peut être diffusé. Veuillez vous référer au salaire publié au niveau provincial pour cette profession."
NOC_0011,Legislators,Membres des corps législatifs,NS,ER1230,Annapolis Valley,,,,NA,NA,NA,2021-11-17,1,"Due to data limitations, the wage for this occupation cannot be published. Please refer to the wage published for this occupation at the provincial level.","En raison des limites associées aux données, le salaire pour cette profession ne peut être diffusé. Veuillez vous référer au salaire publié au niveau provincial pour cette profession."
NOC_0011,Legislators,Membres des corps législatifs,NS,ER1240,Southern,,,,NA,NA,NA,2021-11-17,1,"Due to data limitations, the wage for this occupation cannot be published. Please refer to the wage published for this occupation at the provincial level.","En raison des limites associées aux données, le salaire pour cette profession ne peut être diffusé. Veuillez vous référer au salaire publié au niveau provincial pour cette profession."
NOC_0011,Legislators,Membres des corps législatifs,NS,ER1250,Halifax,,,,NA,NA,NA,2021-11-17,1,"Due to data limitations, the wage for this occupation cannot be published. Please refer to the wage published for this occupation at the provincial level.","En raison des limites associées aux données, le salaire pour cette profession ne peut être diffusé. Veuillez vous référer au salaire publié au niveau provincial pour cette profession."
NOC_0011,Legislators,Membres des corps législatifs,NB,ER13,New Brunswick,24746,76008,142341,2016 Census,Recensement 2016,2016,2021-11-17,1,"In this occupation, a large number of people are self-employed. For this reason, wages for this occupation are presented at an annual rate to better represent earnings for this occupation.","Dans cette profession, il y a un grand nombre de travailleurs autonomes. Pour cette raison les salaires pour cette profession sont présentés au taux annuel afin de mieux représenter la rémunération pour cette profession."
NOC_0011,Legislators,Membres des corps législatifs,NB,ER1310,Campbellton--Miramichi,,,,NA,NA,NA,2021-11-17,1,"Due to data limitations, the wage for this occupation cannot be published. Please refer to the wage published for this occupation at the provincial level.","En raison des limites associées aux données, le salaire pour cette profession ne peut être diffusé. Veuillez vous référer au salaire publié au niveau provincial pour cette profession."
NOC_0011,Legislators,Membres des corps législatifs,NB,ER1320,Moncton--Richibucto,,,,NA,NA,NA,2021-11-17,1,"Due to data limitations, the wage for this occupation cannot be published. Please refer to the wage published for this occupation at the provincial level.","En raison des limites associées aux données, le salaire pour cette profession ne peut être diffusé. Veuillez vous référer au salaire publié au niveau provincial pour cette profession."
NOC_0011,Legislators,Membres des corps législatifs,NB,ER1330,Saint John--St. Stephen,,,,NA,NA,NA,2021-11-17,1,"Due to data limitations, the wage for this occupation cannot be published. Please refer to the wage published for this occupation at the provincial level.","En raison des limites associées aux données, le salaire pour cette profession ne peut être diffusé. Veuillez vous référer au salaire publié au niveau provincial pour cette profession."
NOC_0011,Legislators,Membres des corps législatifs,NB,ER1340,Fredericton--Oromocto,,,,NA,NA,NA,2021-11-17,1,"Due to data limitations, the wage for this occupation cannot be published. Please refer to the wage published for this occupation at the provincial level.","En raison des limites associées aux données, le salaire pour cette profession ne peut être diffusé. Veuillez vous référer au salaire publié au niveau provincial pour cette profession."
NOC_0011,Legislators,Membres des corps législatifs,NB,ER1350,Edmundston--Woodstock,,,,NA,NA,NA,2021-11-17,1,"Due to data limitations, the wage for this occupation cannot be published. Please refer to the wage published for this occupation at the provincial level.","En raison des limites associées aux données, le salaire pour cette profession ne peut être diffusé. Veuillez vous référer au salaire publié au niveau provincial pour cette profession."
